property_id,city,neighborhood,property_type,bedrooms,bathrooms,living_area_sqft,lot_size_sqft,year_built,renovation_year,garage,basement,sale_year,sale_price
893,Longueuil,Vieux-Longueuil,Triplex,5,5,2506,4788,1964,,Yes,No,2022,823000
894,Longueuil,Le Vieux-Longueuil,Condo,2,2,620,,1978,2021,Yes,No,2025,579000
895,Montréal,Outremont,Single Family,3,2,1074,10738,1984,,Yes,No,2025,519000
896,Lévis,Saint-Nicolas,Condo,2,1,764,,1976,,Yes,No,2022,309000
897,Québec,Sillery,Single Family,3,2,1756,5661,1980,,Yes,Yes,2024,430000
898,Saint-Bruno-de-Montarville,Centre-Ville,Condo,3,1,634,,2019,,No,No,2023,459000
899,Châteauguay,Centre-Ville,Condo,2,1,772,,1997,,No,No,2022,250000
900,Montréal,Villeray,Condo,2,2,673,,1976,2009,Yes,No,2022,312000
901,Laval,Vimont,Single Family,4,2,1778,4822,2014,,Yes,Yes,2022,749000
902,Pointe-Claire,West Island,Single Family,2,3,1220,4862,1997,,Yes,Yes,2024,589000
903,Saguenay,Chicoutimi,Single Family,4,3,1388,9282,2023,,No,Yes,2024,335000
904,Sherbrooke,Fleurimont,Condo,2,1,772,,2003,,No,No,2025,293000
905,Saint-Jean-sur-Richelieu,Iberville,Condo,1,1,790,,1976,2014,No,No,2023,269000
906,Mirabel,Sainte-Monique,Condo,2,2,868,,1992,2005,Yes,No,2024,424000
907,Montréal,Hochelaga-Maisonneuve,Single Family,4,2,1163,3016,2011,,No,Yes,2023,443000
908,Trois-Rivières,Centre-Ville,Townhouse,3,2,1095,2760,1965,2011,Yes,Yes,2023,231000
909,Montréal,LaSalle,Single Family,4,3,1736,12525,2016,2023,No,No,2024,624000
910,Montréal,Verdun,Duplex,5,3,1863,5190,1985,,No,Yes,2025,892000
911,Québec,Lebourgneuf,Duplex,5,3,1875,3602,1956,,Yes,Yes,2024,427000
912,Sherbrooke,Rock Forest,Single Family,3,2,1367,6876,1976,,No,No,2021,308000
913,Lévis,Lévis Centre,Townhouse,3,2,885,3113,1959,,Yes,Yes,2022,219000
914,Repentigny,Le Gardeur,Condo,2,1,675,,2005,,Yes,No,2024,459000
915,Montréal,Ville-Marie,Single Family,4,1,1777,12819,1995,,Yes,Yes,2025,879000
916,Montréal,Saint-Léonard,Single Family,3,3,1966,8438,1958,2009,Yes,Yes,2025,826000
917,Drummondville,Centre-Ville,Single Family,4,2,982,5640,2022,,Yes,Yes,2023,255000
918,Rouyn-Noranda,Rouyn Centre,Condo,2,2,655,,1958,,Yes,No,2023,278000
919,Laval,Fabreville,Single Family,4,2,1500,8267,1962,,Yes,No,2021,569000
920,Victoriaville,Centre-Ville,Single Family,6,3,1587,6288,1962,,Yes,Yes,2024,466000
921,Terrebonne,La Plaine,Condo,2,1,690,,1990,,Yes,No,2023,390000
922,Longueuil,Greenfield Park,Single Family,3,3,1723,11806,1956,,Yes,Yes,2024,602000
923,Mirabel,Saint-Canut,Condo,1,1,820,,2014,,Yes,No,2024,412000
924,Montréal,Hochelaga-Maisonneuve,Single Family,3,2,944,11425,1975,,No,Yes,2022,388000
925,Repentigny,Le Gardeur,Single Family,5,3,1406,5234,2020,,Yes,No,2021,478000
926,Laval,Fabreville,Bungalow,3,1,805,7195,2023,,Yes,Yes,2024,531000
927,Québec,Vanier,Single Family,4,3,1075,12487,1986,,Yes,Yes,2024,381000
928,Mirabel,Saint-Canut,Duplex,4,3,1578,4440,1965,,No,Yes,2025,478000
929,Victoriaville,Centre-Ville,Condo,1,1,598,,1972,2018,Yes,No,2024,302000
930,Trois-Rivières,Centre-Ville,Single Family,4,2,1893,9131,1993,,Yes,Yes,2021,350000
931,Longueuil,Vieux-Longueuil,Single Family,4,2,1371,7551,2011,,Yes,Yes,2021,494000
932,Longueuil,Saint-Hubert,Townhouse,2,2,896,2532,2014,,Yes,Yes,2025,483000
933,Gatineau,Buckingham,Triplex,6,4,1696,5400,1968,2011,Yes,Yes,2024,707000
934,Mirabel,Saint-Canut,Duplex,6,3,1747,4318,1977,,Yes,Yes,2022,516000
935,Montréal,Villeray,Single Family,5,3,1447,5452,1984,2007,No,No,2023,609000
936,Montréal,Hochelaga-Maisonneuve,Single Family,3,3,1959,8770,1967,2022,No,Yes,2022,666000
937,Sept-Îles,Sept-Îles Centre,Bungalow,3,2,1149,5650,2009,,Yes,No,2025,263000
938,Dollard-des-Ormeaux,West Island,Single Family,3,4,1692,7424,2021,,Yes,No,2024,623000
939,Montréal,Verdun,Single Family,6,2,1639,5017,1956,,No,Yes,2025,762000
940,Mirabel,Saint-Canut,Single Family,5,2,1071,6286,2007,,Yes,Yes,2024,401000
941,Mirabel,Saint-Canut,Townhouse,3,2,1060,3994,1986,2014,Yes,No,2023,285000
942,Repentigny,Repentigny Centre,Condo,2,2,704,,2011,,Yes,No,2025,554000
943,Saguenay,La Baie,Condo,2,1,900,,2004,,No,No,2023,227000
944,Saguenay,La Baie,Condo,2,2,743,,1988,,No,No,2024,239000
945,Montréal,NDG,Condo,2,1,733,,1980,2005,Yes,No,2022,316000
946,Montréal,Mercier,Single Family,4,2,1963,9091,1980,2014,No,Yes,2022,680000
947,Terrebonne,Lachenaie,Single Family,2,2,1417,11351,1993,,Yes,Yes,2024,718000
948,Sherbrooke,Rock Forest,Single Family,4,3,1904,4738,1997,2018,Yes,Yes,2023,387000
949,Châteauguay,Centre-Ville,Single Family,3,3,1921,6411,1980,,Yes,Yes,2025,452000
950,Québec,Charlesbourg,Single Family,5,2,1262,4843,1924,,Yes,Yes,2024,347000
951,Dollard-des-Ormeaux,West Island,Single Family,3,3,1880,7215,1976,,Yes,No,2025,909000
952,Laval,Vimont,Single Family,2,3,1687,8715,1998,,Yes,Yes,2024,855000
953,Sherbrooke,Lennoxville,Single Family,2,3,1598,4425,1993,,Yes,Yes,2024,446000
954,Montréal,Ahuntsic,Duplex,4,2,1678,4176,1992,2009,No,Yes,2024,612000
955,Québec,Val-Bélair,Triplex,7,4,2152,4103,1958,2005,No,Yes,2022,577000
956,Laval,Vimont,Townhouse,4,2,1073,2852,2022,,Yes,Yes,2023,439000
957,Saint-Jérôme,Bellefeuille,Single Family,3,2,911,8720,2013,,No,No,2025,317000
958,Rimouski,Rimouski Centre,Single Family,3,4,1242,5974,1972,,No,Yes,2024,216000
959,Saint-Bruno-de-Montarville,Centre-Ville,Duplex,4,3,2006,4457,1973,2017,Yes,Yes,2025,724000
960,Montréal,Verdun,Townhouse,2,2,1103,3353,1974,,No,Yes,2023,371000
961,Repentigny,Repentigny Centre,Condo,2,1,1013,,2013,,No,No,2022,490000
962,Granby,Centre-Ville,Condo,2,1,761,,2002,,No,No,2025,439000
963,Montréal,Verdun,Triplex,6,4,1930,4776,2003,,No,Yes,2023,709000
964,Laval,Sainte-Dorothée,Condo,1,1,692,,1978,2021,Yes,No,2025,566000
965,Montréal,Outremont,Single Family,4,2,1121,6783,1986,,Yes,No,2021,423000
966,Saint-Bruno-de-Montarville,Centre-Ville,Townhouse,3,2,1010,2298,2016,,Yes,Yes,2023,392000
967,Brossard,Secteur A,Duplex,5,3,2010,3787,2013,2024,Yes,Yes,2024,738000
968,Mirabel,Saint-Canut,Single Family,4,3,1558,6621,2011,,Yes,Yes,2025,592000
969,Longueuil,Le Vieux-Longueuil,Single Family,5,3,1715,7768,1974,2015,Yes,No,2022,700000
970,Granby,Centre-Ville,Single Family,4,4,917,5450,2004,,Yes,Yes,2025,403000
971,Montréal,Ahuntsic,Single Family,5,4,1671,14130,1950,,No,Yes,2024,711000
972,Gatineau,Buckingham,Single Family,3,3,1257,6941,1966,,No,Yes,2022,456000
973,Alma,Alma Centre,Condo,2,2,802,,1968,,Yes,No,2021,174000
974,Blainville,Blainville Centre,Townhouse,3,3,1034,3172,1983,,Yes,Yes,2025,430000
975,Saint-Jérôme,Bellefeuille,Condo,2,2,834,,1992,2011,No,No,2024,296000
976,Drummondville,Centre-Ville,Townhouse,2,2,1052,2319,1962,,Yes,Yes,2024,269000
977,Longueuil,Vieux-Longueuil,Single Family,3,3,1784,13740,1980,,Yes,Yes,2023,610000
978,Lévis,Lévis Centre,Condo,3,1,765,,1993,,No,No,2021,265000
979,Longueuil,Saint-Hubert,Single Family,5,4,1390,10625,1983,2019,Yes,Yes,2023,675000
980,Québec,Sainte-Foy,Single Family,3,4,1070,4342,2017,,Yes,Yes,2024,323000
981,Longueuil,Greenfield Park,Single Family,3,3,1934,10689,1986,2010,No,Yes,2022,659000
982,Vaudreuil-Dorion,Centre-Ville,Condo,1,1,614,,1978,,Yes,No,2025,337000
983,Gatineau,Hull,Condo,2,2,655,,2013,,Yes,No,2025,526000
984,Montréal,LaSalle,Townhouse,3,1,974,3200,1971,,Yes,Yes,2021,324000
985,Sherbrooke,Centre-Ville,Townhouse,3,2,1028,2506,1976,,Yes,No,2023,320000
986,Saint-Bruno-de-Montarville,Centre-Ville,Single Family,4,2,1442,7214,2012,,No,Yes,2025,723000
987,Brossard,Secteur C,Townhouse,3,1,1067,3024,2004,,Yes,Yes,2025,572000
988,Brossard,Secteur B,Condo,2,2,628,,1958,2023,No,No,2025,374000
989,Montréal,Rosemont,Single Family,5,3,1527,7091,1960,2022,Yes,No,2022,579000
990,Laval,Vimont,Condo,2,1,601,,2022,,Yes,No,2025,481000
991,Châteauguay,Centre-Ville,Townhouse,3,2,1251,2924,1967,,Yes,Yes,2024,274000
992,Montréal,Rosemont,Townhouse,2,1,1137,1990,1935,2010,No,Yes,2023,358000
993,Québec,Val-Bélair,Townhouse,2,3,856,2489,2013,,Yes,Yes,2024,268000
994,Alma,Alma Centre,Single Family,4,3,1659,5146,1981,2017,Yes,Yes,2022,276000
995,Rouyn-Noranda,Rouyn Centre,Single Family,5,3,1577,4766,1990,,Yes,Yes,2025,576000
996,Trois-Rivières,Cap-de-la-Madeleine,Single Family,5,2,1276,9906,2016,,No,Yes,2021,285000
997,Sherbrooke,Rock Forest,Townhouse,3,2,1096,2147,1976,,No,Yes,2022,245000
998,Montréal,Plateau-Mont-Royal,Condo,3,1,756,,1977,2016,No,No,2024,429000
999,Rimouski,Rimouski Centre,Condo,2,1,920,,1966,,Yes,No,2023,204000
1000,Laval,Sainte-Dorothée,Single Family,4,2,2149,4662,1986,,Yes,Yes,2025,824000
1001,Victoriaville,Centre-Ville,Single Family,2,3,1888,6010,1958,2010,Yes,Yes,2025,678000
1002,Trois-Rivières,Cap-de-la-Madeleine,Single Family,2,3,1305,4759,1972,,Yes,Yes,2024,315000
1003,Châteauguay,Centre-Ville,Condo,2,1,993,,2008,,Yes,No,2023,301000
1004,Boucherville,Boucherville Centre,Single Family,4,2,1123,6703,2013,2018,Yes,Yes,2023,543000
1005,Laval,Chomedey,Single Family,2,2,2047,10469,1972,2021,Yes,Yes,2023,696000
1006,Mirabel,Saint-Canut,Single Family,4,3,1674,8883,1969,,Yes,Yes,2023,522000
1007,Longueuil,Saint-Hubert,Duplex,5,3,1740,6357,1966,2007,Yes,Yes,2021,618000
1008,Montréal,Ville-Marie,Bungalow,4,1,1101,7114,2010,,Yes,Yes,2022,428000
1009,Montréal,Plateau-Mont-Royal,Triplex,5,6,2428,4714,1945,2016,Yes,Yes,2024,1249000
1010,Lévis,Charny,Single Family,4,3,1251,3683,1976,,Yes,Yes,2024,404000
1011,Gatineau,Gatineau Centre,Single Family,4,3,1376,4119,1997,,Yes,Yes,2023,508000
1012,Montréal,NDG,Condo,2,2,886,,1930,,Yes,No,2023,401000
1013,Montréal,NDG,Duplex,5,4,2222,6150,1956,2006,Yes,Yes,2022,867000
1014,Laval,Duvernay,Single Family,3,3,1687,3654,1990,,No,Yes,2021,505000
1015,Montréal,Verdun,Duplex,5,2,1547,4555,1953,2021,Yes,No,2022,596000
1016,Montréal,Outremont,Townhouse,3,2,1038,2332,1984,,Yes,No,2024,341000
1017,Pointe-Claire,West Island,Duplex,4,4,1746,4314,1996,2010,Yes,No,2025,705000
1018,Terrebonne,Lachenaie,Duplex,4,4,1486,3065,1978,2008,Yes,Yes,2024,694000
1019,Repentigny,Le Gardeur,Single Family,4,3,1428,7129,1955,,Yes,Yes,2023,610000
1020,Laval,Pont-Viau,Duplex,4,3,2070,4024,1975,,Yes,No,2024,882000
1021,Granby,Centre-Ville,Single Family,4,3,1951,4653,1976,,Yes,Yes,2022,498000
1022,Longueuil,Saint-Hubert,Single Family,3,2,1305,5631,1973,,Yes,Yes,2021,479000
1023,Terrebonne,Lachenaie,Single Family,5,3,1348,5599,1996,2018,No,Yes,2021,540000
1024,Saint-Jérôme,Centre-Ville,Single Family,3,2,1637,8499,1984,,No,Yes,2024,403000
1025,Gatineau,Buckingham,Bungalow,3,1,1289,5306,2023,,Yes,No,2024,593000
1026,Laval,Pont-Viau,Condo,2,2,590,,2012,,No,No,2022,322000
1027,Québec,Lebourgneuf,Single Family,4,2,1607,3994,1984,,Yes,Yes,2025,483000
1028,Longueuil,Saint-Hubert,Bungalow,3,1,1100,4071,1981,2011,No,Yes,2022,436000
1029,Trois-Rivières,Cap-de-la-Madeleine,Townhouse,2,2,862,1700,2003,,Yes,Yes,2024,256000
1030,Terrebonne,Lachenaie,Single Family,5,3,1734,10339,2019,,No,Yes,2024,787000
1031,Mirabel,Sainte-Monique,Condo,2,2,824,,1968,,Yes,No,2021,269000
1032,Trois-Rivières,Cap-de-la-Madeleine,Single Family,4,2,1295,5975,1960,,Yes,Yes,2022,274000
1033,Québec,Charlesbourg,Townhouse,2,3,1090,2733,2010,,Yes,Yes,2024,325000
1034,Montréal,Verdun,Townhouse,3,2,927,3218,1919,,No,Yes,2024,318000
1035,Montréal,Verdun,Condo,2,1,627,,2022,,Yes,No,2024,382000
1036,Sept-Îles,Sept-Îles Centre,Duplex,4,3,1970,5971,1987,2007,No,Yes,2024,227000
1037,Montréal,Ville-Marie,Duplex,5,3,1468,4228,1974,2020,Yes,Yes,2021,802000
1038,Longueuil,Vieux-Longueuil,Townhouse,4,3,952,3138,1990,,Yes,Yes,2021,386000
1039,Alma,Alma Centre,Single Family,3,3,1628,12627,2018,,Yes,Yes,2025,318000
1040,Montréal,Plateau-Mont-Royal,Single Family,3,3,1518,6453,1916,,No,No,2022,509000
1041,Montréal,Rosemont,Condo,2,2,705,,1946,2022,No,No,2023,407000
1042,Laval,Duvernay,Condo,2,2,606,,1989,2019,Yes,No,2025,488000
1043,Montréal,Ahuntsic,Condo,2,1,720,,1903,,Yes,No,2021,244000
1044,Saint-Jérôme,Centre-Ville,Condo,2,1,893,,1973,2008,No,No,2025,346000
1045,Vaudreuil-Dorion,Centre-Ville,Townhouse,3,2,1219,2740,1971,,Yes,Yes,2024,379000
1046,Longueuil,Vieux-Longueuil,Duplex,4,3,1582,4008,1961,,Yes,Yes,2023,614000
1047,Montréal,Rosemont,Condo,2,1,652,,1975,,Yes,No,2022,307000
1048,Sherbrooke,Rock Forest,Condo,2,1,780,,1987,,No,No,2024,287000
1049,Sherbrooke,Rock Forest,Condo,2,2,592,,1976,,No,No,2025,291000
1050,Dollard-des-Ormeaux,West Island,Condo,2,1,566,,2018,,No,No,2022,296000
1051,Montréal,Outremont,Condo,3,2,763,,1981,2021,No,No,2022,424000
1052,Saint-Bruno-de-Montarville,Centre-Ville,Duplex,5,3,1846,4801,2014,,No,Yes,2024,613000
1053,Saint-Jean-sur-Richelieu,Centre-Ville,Single Family,2,2,1221,10562,1957,,Yes,Yes,2025,337000
1054,Repentigny,Repentigny Centre,Condo,2,2,651,,2009,,No,No,2023,461000
1055,Victoriaville,Centre-Ville,Single Family,5,4,1111,3572,2013,,Yes,Yes,2023,436000
1056,Brossard,Secteur C,Bungalow,3,1,973,6539,1988,2017,Yes,Yes,2025,603000
1057,Mirabel,Saint-Canut,Duplex,4,2,2029,5475,2003,,Yes,No,2024,480000
1058,Montréal,Pointe-aux-Trembles,Triplex,6,5,2912,4130,1964,,No,Yes,2025,1200000
1059,Dollard-des-Ormeaux,West Island,Duplex,5,3,1688,5271,1994,,Yes,Yes,2024,705000
1060,Québec,Beauport,Condo,2,2,833,,1977,2016,Yes,No,2024,283000
1061,Québec,Sainte-Foy,Condo,2,2,688,,2003,,Yes,No,2023,313000
1062,Laval,Pont-Viau,Duplex,6,3,1616,5281,1985,2018,Yes,Yes,2024,763000
1063,Sept-Îles,Sept-Îles Centre,Townhouse,3,2,966,3218,1975,2005,Yes,Yes,2025,174000
1064,Québec,Charlesbourg,Single Family,4,2,1371,4130,1966,2015,No,Yes,2022,372000
1065,Terrebonne,Lachenaie,Single Family,4,2,1730,5532,2013,,No,Yes,2022,593000
1066,Terrebonne,La Plaine,Condo,2,1,892,,1984,,Yes,No,2022,442000
1067,Lévis,Lévis Centre,Condo,2,2,659,,1958,2011,Yes,No,2025,351000
1068,Montréal,Hochelaga-Maisonneuve,Condo,1,1,831,,2013,,No,No,2023,389000
1069,Saint-Jean-sur-Richelieu,Centre-Ville,Townhouse,3,1,1021,2335,2015,2022,Yes,Yes,2023,286000
1070,Québec,Beauport,Condo,2,2,870,,1977,2018,Yes,No,2024,370000
1071,Mirabel,Saint-Canut,Condo,2,2,675,,2014,,Yes,No,2025,353000
1072,Victoriaville,Centre-Ville,Townhouse,4,1,1075,2583,1979,2005,No,Yes,2021,288000
1073,Saint-Jérôme,Bellefeuille,Condo,2,1,878,,1978,2008,Yes,No,2022,297000
1074,Saint-Jérôme,Centre-Ville,Single Family,4,3,1279,8955,2017,,Yes,Yes,2025,504000
1075,Longueuil,Greenfield Park,Townhouse,2,2,939,2295,2011,2016,Yes,No,2023,356000
1076,Gatineau,Buckingham,Condo,2,2,786,,1958,,Yes,No,2023,353000
1077,Longueuil,Greenfield Park,Townhouse,3,3,1076,3196,1977,,Yes,Yes,2025,472000
1078,Québec,Vanier,Single Family,4,3,1084,9946,1990,,No,Yes,2021,354000
1079,Terrebonne,Terrebonne Ouest,Single Family,3,4,1863,11003,2004,,Yes,Yes,2021,583000
1080,Gatineau,Buckingham,Condo,1,2,796,,1993,2007,No,No,2025,549000
1081,Saguenay,La Baie,Single Family,3,4,1910,6694,2022,,Yes,No,2025,407000
1082,Montréal,Villeray,Condo,1,2,920,,1976,,Yes,No,2024,502000
1083,Sept-Îles,Sept-Îles Centre,Single Family,4,2,1145,8587,1966,,Yes,Yes,2022,153000
1084,Vaudreuil-Dorion,Centre-Ville,Condo,2,2,546,,2013,,Yes,No,2025,368000
1085,Montréal,Ville-Marie,Single Family,5,1,1587,5959,2006,,No,Yes,2022,494000
1086,Blainville,Blainville Centre,Duplex,4,4,1881,5853,1962,,Yes,Yes,2023,522000
1087,Montréal,NDG,Single Family,4,3,1256,11461,1976,,No,Yes,2022,518000
1088,Saint-Bruno-de-Montarville,Centre-Ville,Single Family,3,2,1586,9060,1985,,Yes,Yes,2023,495000
1089,Montréal,Pointe-aux-Trembles,Condo,2,2,679,,2012,,Yes,No,2021,350000
1090,Brossard,Solar Uniquartier,Condo,1,1,711,,2011,,Yes,No,2023,384000
1091,Longueuil,Saint-Hubert,Single Family,4,3,1962,7363,1992,,Yes,Yes,2023,646000
1092,Vaudreuil-Dorion,Centre-Ville,Bungalow,3,1,1138,7655,2002,,Yes,Yes,2025,437000
1093,Sherbrooke,Rock Forest,Condo,2,2,841,,1956,,Yes,No,2023,277000
1094,Gatineau,Aylmer,Single Family,4,3,1932,5521,1972,,Yes,Yes,2024,647000
1095,Longueuil,Vieux-Longueuil,Single Family,3,2,1761,6605,1968,2018,Yes,Yes,2022,615000
1096,Dollard-des-Ormeaux,West Island,Townhouse,3,1,1120,2983,2018,,No,Yes,2023,484000
1097,Montréal,Villeray,Single Family,4,2,1075,8571,1903,,Yes,Yes,2022,424000
1098,Brossard,Secteur C,Single Family,3,2,1930,11428,2002,,Yes,Yes,2025,714000
1099,Alma,Alma Centre,Duplex,5,3,1455,4979,2019,,Yes,Yes,2022,241000
1100,Montréal,Lachine,Single Family,5,2,1435,6147,1946,,No,No,2024,520000
1101,Victoriaville,Centre-Ville,Triplex,5,5,2818,5715,1995,,Yes,Yes,2025,837000
1102,Granby,Centre-Ville,Condo,2,2,629,,2023,,Yes,No,2025,361000
1103,Longueuil,Vieux-Longueuil,Single Family,2,2,1317,12889,1966,,Yes,Yes,2024,673000
1104,Lévis,Charny,Duplex,5,3,1318,5118,1959,,No,No,2022,319000
1105,Longueuil,Greenfield Park,Single Family,4,3,1475,8102,1980,2022,Yes,Yes,2025,832000
1106,Trois-Rivières,Cap-de-la-Madeleine,Townhouse,4,2,1118,2812,2017,,Yes,No,2024,272000
1107,Montréal,Rosemont,Single Family,4,2,1781,7374,1944,2007,Yes,Yes,2024,623000
1108,Montréal,NDG,Single Family,2,3,1220,6830,1983,,Yes,Yes,2025,547000
1109,Québec,Sainte-Foy,Duplex,5,3,1560,5877,2004,,Yes,No,2021,304000
1110,Repentigny,Repentigny Centre,Single Family,3,2,1826,8201,2015,,Yes,Yes,2024,725000
1111,Montréal,Villeray,Duplex,4,3,1829,3738,1956,,No,No,2025,696000
1112,Mirabel,Sainte-Monique,Single Family,6,2,1245,9831,1973,,No,Yes,2024,471000
1113,Longueuil,Greenfield Park,Condo,1,2,804,,2012,,No,No,2022,431000
1114,Saint-Bruno-de-Montarville,Centre-Ville,Single Family,5,2,2033,9989,2011,,Yes,Yes,2025,917000
1115,Québec,Beauport,Townhouse,3,3,795,2915,2000,,No,Yes,2022,206000
1116,Drummondville,Centre-Ville,Duplex,4,3,1995,3746,2022,,Yes,Yes,2023,400000
1117,Montréal,Villeray,Condo,2,2,755,,1955,,Yes,No,2025,430000
1118,Vaudreuil-Dorion,Centre-Ville,Single Family,4,2,1363,7714,1983,,Yes,Yes,2025,559000
1119,Val-d'Or,Val-d'Or Centre,Single Family,5,4,1320,6423,2015,,Yes,Yes,2022,241000
1120,Saint-Jérôme,Bellefeuille,Bungalow,2,1,1026,5168,1988,2008,Yes,Yes,2023,274000
1121,Québec,Vanier,Condo,2,1,870,,1972,2008,Yes,No,2025,408000
1122,Montréal,Villeray,Single Family,5,2,1310,9152,1917,2009,Yes,Yes,2024,574000
1123,Victoriaville,Centre-Ville,Duplex,4,3,2032,7181,2008,,No,No,2022,363000
1124,Pointe-Claire,West Island,Condo,3,2,789,,2009,,Yes,No,2023,468000
1125,Trois-Rivières,Trois-Rivières-Ouest,Triplex,5,4,2265,6019,2008,,No,Yes,2024,631000
1126,Lévis,Saint-Nicolas,Single Family,6,3,1488,5396,1965,,Yes,No,2024,430000
1127,Victoriaville,Centre-Ville,Single Family,3,2,1505,9785,1973,,No,Yes,2023,457000
1128,Montréal,Hochelaga-Maisonneuve,Condo,2,1,784,,1935,,No,No,2022,337000
1129,Québec,Beauport,Townhouse,3,3,1107,2960,1972,,Yes,No,2025,309000
1130,Laval,Chomedey,Single Family,3,2,1932,9165,1995,,Yes,Yes,2023,729000
1131,Laval,Chomedey,Single Family,3,2,1171,7072,1956,,Yes,Yes,2022,444000
1132,Longueuil,Saint-Hubert,Single Family,3,2,1582,9106,1972,,Yes,Yes,2023,612000
1133,Vaudreuil-Dorion,Centre-Ville,Condo,2,2,799,,2000,2006,Yes,No,2022,396000
1134,Saint-Jean-sur-Richelieu,Centre-Ville,Condo,2,2,543,,2006,,Yes,No,2022,238000
1135,Gatineau,Aylmer,Single Family,5,3,1488,8063,2004,,Yes,No,2023,520000
1136,Montréal,Villeray,Duplex,5,3,1964,4077,1980,,No,Yes,2022,758000
1137,Laval,Sainte-Dorothée,Townhouse,3,2,1259,3689,1987,,No,No,2024,468000
1138,Brossard,Secteur A,Townhouse,4,2,1289,2353,1996,2016,Yes,No,2021,345000
1139,Sherbrooke,Lennoxville,Single Family,5,3,1599,7103,1982,,Yes,Yes,2023,413000
1140,Candiac,Candiac Centre,Single Family,3,2,1487,10426,1957,2015,Yes,Yes,2025,626000
1141,Mirabel,Sainte-Monique,Single Family,2,2,1799,5706,2022,,Yes,Yes,2023,468000
1142,Québec,Sillery,Condo,2,1,894,,1997,,No,No,2025,408000
1143,Granby,Centre-Ville,Single Family,4,2,1941,13117,1980,2012,Yes,Yes,2022,503000
1144,Longueuil,Greenfield Park,Single Family,4,3,1168,6916,1990,,Yes,Yes,2025,809000
1145,Montréal,Ville-Marie,Single Family,2,1,1185,5015,1965,2013,Yes,Yes,2021,421000
1146,Saint-Jérôme,Centre-Ville,Duplex,4,3,1365,5573,1983,2023,Yes,Yes,2025,468000
1147,Trois-Rivières,Trois-Rivières-Ouest,Condo,1,2,792,,1988,2022,No,No,2025,349000
1148,Vaudreuil-Dorion,Centre-Ville,Single Family,2,3,1718,9402,1985,2020,Yes,Yes,2024,652000
1149,Montréal,Verdun,Single Family,2,4,1419,4633,1956,,Yes,Yes,2022,508000
1150,Repentigny,Repentigny Centre,Bungalow,3,2,960,5447,1983,,Yes,Yes,2025,603000
1151,Brossard,Secteur B,Single Family,3,4,987,4153,1972,2019,Yes,Yes,2025,550000
1152,Pointe-Claire,West Island,Triplex,6,5,2158,3905,1987,,Yes,Yes,2024,958000
1153,Pointe-Claire,West Island,Duplex,6,3,1304,3642,2010,,Yes,Yes,2025,657000
1154,Saguenay,Chicoutimi,Single Family,5,3,1636,12791,2004,,Yes,Yes,2022,340000
1155,Longueuil,Vieux-Longueuil,Townhouse,3,2,1068,1656,2022,,Yes,No,2025,549000
1156,Terrebonne,La Plaine,Single Family,4,3,1846,5839,1999,2006,No,No,2022,645000
1157,Châteauguay,Centre-Ville,Single Family,2,3,1635,5452,1966,2007,No,No,2024,364000
1158,Trois-Rivières,Trois-Rivières-Ouest,Single Family,3,2,1649,8350,1962,,Yes,Yes,2023,427000
1159,Québec,Charlesbourg,Single Family,6,3,1189,5399,1976,,Yes,Yes,2022,319000
1160,Saint-Jérôme,Centre-Ville,Condo,2,1,732,,2002,,Yes,No,2022,249000
1161,Sherbrooke,Fleurimont,Single Family,4,2,1203,5721,2022,,No,No,2025,461000
1162,Blainville,Blainville Centre,Condo,2,1,709,,1995,,No,No,2021,287000
1163,Alma,Alma Centre,Condo,1,1,774,,1970,,No,No,2024,196000
1164,Longueuil,Greenfield Park,Townhouse,3,2,1085,3902,2020,,Yes,No,2024,436000
1165,Montréal,Lachine,Single Family,5,2,1409,8502,1952,,No,Yes,2021,369000
1166,Sherbrooke,Lennoxville,Single Family,3,3,1040,4703,1956,,Yes,No,2021,223000
1167,Longueuil,Le Vieux-Longueuil,Condo,2,1,761,,2016,,Yes,No,2023,447000
1168,Drummondville,Centre-Ville,Condo,2,2,769,,2004,,Yes,No,2023,244000
1169,Châteauguay,Centre-Ville,Condo,2,2,828,,2009,,Yes,No,2022,289000
1170,Mirabel,Sainte-Monique,Single Family,5,3,1654,6700,2021,,Yes,No,2022,473000
1171,Montréal,Pointe-aux-Trembles,Single Family,4,3,1666,8579,1961,,No,Yes,2022,480000
1172,Lévis,Saint-Nicolas,Duplex,4,3,2043,3660,1979,2020,Yes,Yes,2024,412000
1173,Montréal,Lachine,Townhouse,4,1,1109,3130,1931,,Yes,Yes,2025,420000
1174,Alma,Alma Centre,Single Family,4,3,1696,8933,1967,,Yes,Yes,2023,318000
1175,Trois-Rivières,Cap-de-la-Madeleine,Condo,2,1,731,,1999,,Yes,No,2023,287000
1176,Longueuil,Saint-Hubert,Single Family,4,2,1048,9044,1957,2022,Yes,Yes,2024,539000
1177,Montréal,Outremont,Condo,2,2,932,,1955,,No,No,2023,390000
1178,Trois-Rivières,Trois-Rivières-Ouest,Townhouse,3,2,896,2595,1960,,Yes,Yes,2022,239000
1179,Blainville,Blainville Centre,Condo,2,1,752,,1961,,Yes,No,2024,352000
1180,Montréal,Verdun,Single Family,4,3,1565,13411,1970,,No,Yes,2023,614000
1181,Blainville,Blainville Centre,Duplex,4,2,1865,3997,1976,2011,Yes,Yes,2021,418000
